Kate,Kelly,Jeff,Ryan,Taylor,Tina
Caring,Formal,Authoritative,Authoritative,Approachable,Respectful
Straightforward,Authoritative,Caring,Empathetic,Informative,Caring
Formal,Direct,Formal,Supportive,Direct,Formal
Respectful,Corporate,Informative,Energetic,Empathetic,Innovative
Credible,Technical,Matter of fact,Respectful,Passionate,Trustworthy
Compassionate,Approachable,Professional,Caring,Innovative,Passionate
Informative,Empathetic,Inspirational,Discerning,Credible,Professional
Transformative,Innovative,Approachable,Attentive,Caring,Educational
Farsighted,Sincere,Respectful,Observant,Professional,Philanthropic
Professional,Confident,Practical,Reliable,Respectful,Confident
